Class 0: precision=0.3634, recall=0.6816, f1-score=0.4741, support=1140.0000
Class 1: precision=0.5201, recall=0.7987, f1-score=0.6300, support=760.0000
Class 2: precision=0.5914, recall=0.6132, f1-score=0.6021, support=760.0000
Class 3: precision=0.7822, recall=0.5671, f1-score=0.6575, support=760.0000
Class 4: precision=0.5726, recall=0.7105, f1-score=0.6342, support=760.0000
Class 5: precision=0.7667, recall=0.6355, f1-score=0.6950, support=760.0000
Class 6: precision=0.8817, recall=0.8632, f1-score=0.8723, support=760.0000
Class 7: precision=0.6635, recall=0.7421, f1-score=0.7006, support=760.0000
Class 8: precision=0.6996, recall=0.6434, f1-score=0.6703, support=760.0000
Class 9: precision=0.7669, recall=0.7618, f1-score=0.7644, support=760.0000
Class 10: precision=0.8566, recall=0.6368, f1-score=0.7306, support=760.0000
Class 11: precision=0.7743, recall=0.6439, f1-score=0.7031, support=570.0000
Class 12: precision=0.6873, recall=0.7211, f1-score=0.7038, support=570.0000
Class 13: precision=0.9649, recall=0.8211, f1-score=0.8872, support=570.0000
Class 14: precision=0.7711, recall=0.6561, f1-score=0.7090, support=570.0000
Class 15: precision=0.7056, recall=0.7105, f1-score=0.7080, support=570.0000
Class 16: precision=0.7077, recall=0.7561, f1-score=0.7311, support=570.0000
Class 17: precision=0.8004, recall=0.6754, f1-score=0.7326, support=570.0000
Class 18: precision=0.8644, recall=0.6596, f1-score=0.7483, support=570.0000
Class 19: precision=0.6367, recall=0.6456, f1-score=0.6411, support=570.0000
Class 20: precision=0.6979, recall=0.5877, f1-score=0.6381, support=570.0000
Class 21: precision=0.6594, recall=0.5842, f1-score=0.6195, support=570.0000
Class 22: precision=0.6900, recall=0.6561, f1-score=0.6727, support=570.0000
Class 23: precision=0.6184, recall=0.7789, f1-score=0.6894, support=570.0000
Class 24: precision=0.7316, recall=0.6263, f1-score=0.6749, support=570.0000
Class 25: precision=0.9725, recall=0.6193, f1-score=0.7567, support=570.0000
Class 26: precision=0.8238, recall=0.5579, f1-score=0.6653, support=570.0000
Class 27: precision=0.6466, recall=0.6035, f1-score=0.6243, support=570.0000
Class 28: precision=0.9014, recall=0.8131, f1-score=0.8550, support=551.0000
Class 29: precision=0.8635, recall=0.7439, f1-score=0.7992, support=570.0000

Overall:
accuracy: 0.6849266022198353
